Price,Close,High,Low,Open,Volume
Ticker,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS
Date,,,,,
2009-04-08,7.075302600860596,7.140814492288604,6.573043239359557,6.573043239359557,19800
2009-04-09,7.468374729156494,7.643073382727342,7.097139569675388,7.337350114206692,49102
2009-04-13,8.189005851745605,8.385542325399001,7.250000014017861,7.424698638916016,74050
2009-04-15,7.992470741271973,8.341868883689683,7.271838270014483,7.271838270014483,58478
2009-04-16,7.686748027801514,8.691265880996228,7.555723416713812,8.691265880996228,38592
2009-04-17,7.512049674987793,8.189007276645604,7.228163422974294,7.686748330283787,35550
2009-04-20,7.621237277984619,7.970634627054881,7.424700748489479,7.970634627054881,26752
2009-04-21,9.149850845336914,9.149850845336914,7.271838068567845,7.424699699576669,280400
2009-04-22,10.067020416259766,10.875002725447864,9.564761413152242,9.586599268174565,648410
2009-04-23,9.215363502502441,10.154369552587545,9.062501858760927,10.154369552587545,121414
2009-04-24,9.586597442626953,10.04518148139201,8.975150946901763,9.411897967831852,106984
2009-04-27,9.477412223815918,10.263556655723585,8.341869618704537,9.608436018124207,70878
2009-04-28,10.9841890335083,11.377261243844963,9.761297527343364,9.870484298716267,700720
2009-04-29,10.307229995727539,11.399097562371795,10.110693500520036,11.24623593643583,390844
2009-04-30,10.307229995727539,10.307229995727539,10.307229995727539,10.307229995727539,0
2009-05-04,9.89232063293457,10.481929324016264,9.73945899702022,10.481929324016264,103000
2009-05-05,9.804972648620605,10.460093293302723,9.630273143615526,10.460093293302723,58732
2009-05-06,9.652111053466797,10.263556825395183,9.171689078012715,9.608436176965702,64218
2009-05-07,9.695786476135254,9.935997060878957,9.390063156435058,9.652111597173937,56142
2009-05-08,9.542924880981445,9.870485225868482,8.73494253032095,9.062502875207986,38704
2009-05-11,8.931478500366211,9.54292427185413,8.734941972767352,9.34638774425527,72706
2009-05-12,9.106176376342773,9.390061799009368,8.079820617752247,8.778616081028494,49698
2009-05-13,8.887803077697754,9.39006204365982,8.86596522429049,9.171688507760754,32228
2009-05-14,8.7567777633667,8.865964522675656,8.494730207448297,8.6257539854075,22836
2009-05-15,8.734941482543945,8.97515204010233,8.625754714012146,8.691266608525439,27342
2009-05-18,8.734941482543945,8.734941482543945,8.734941482543945,8.734941482543945,0
2009-05-19,9.193527221679688,9.608437349530123,8.953316621153068,9.06250340921591,65182
2009-05-20,9.848645210266113,10.045181707316456,8.75677763338389,10.045181707316456,62000
2009-05-21,10.045183181762695,10.547442174245035,9.71762286061826,10.285393750723692,123198
2009-05-22,10.503766059875488,10.700302562604259,10.045181997546855,10.481929040918459,77400
2009-05-25,11.355422973632812,11.442772714333842,10.503765917398805,10.896838917524573,168614
2009-05-26,11.13705062866211,11.923195045709031,10.940514107885903,11.792171253877527,143600
2009-05-27,11.355422973632812,11.63930838136786,11.224399195610134,11.24623621427096,60350
2009-05-28,11.071539878845215,11.879522233523721,10.96235309667323,11.879522233523721,39944
2009-05-29,10.87500286102295,11.573798402898067,10.59111740642559,11.311749970566273,58026
2009-06-01,11.420936584472656,11.420936584472656,10.962352459227947,11.311749808649727,71800
2009-06-02,11.945032119750977,12.010544011389138,11.224399645673408,11.770333464372914,178074
2009-06-03,12.556478500366211,12.556478500366211,12.272593066094155,12.534641479664106,185200
2009-06-04,13.1897611618042,13.1897611618042,12.447290848175179,13.015061676459336,179400
2009-06-05,13.277111053466797,13.866719777542915,12.993225618327614,13.866719777542915,135800
2009-06-08,12.621989250183105,13.277109808147927,12.621989250183105,13.277109808147927,35000
2009-06-09,11.988707542419434,12.010544562958692,11.988707542419434,12.010544562958692,19400
2009-06-10,11.442773818969727,12.490966643425754,11.399098944403029,12.490966643425754,51692
2009-06-11,11.48644733428955,11.792170609221674,10.875001617454208,11.573797079421274,29556
2009-06-12,11.027863502502441,11.966869535119637,10.940513755409665,11.923194661573248,38432
2009-06-15,10.591115951538086,11.137049763473039,10.481929189151096,11.137049763473039,38874
2009-06-16,10.96235179901123,11.13705046320075,10.088857645034702,10.481929847718352,26000
2009-06-17,10.634790420532227,11.46460961665583,10.503765810810275,10.918675825386504,24348
2009-06-18,10.13253116607666,10.63479007092757,10.110693315326463,10.263554938462521,28654
2009-06-19,10.307229995727539,10.612952414570625,9.8268080997983,10.263555126456001,15262
2009-06-22,10.307229995727539,10.743977022385241,10.04518161312715,10.372741883120426,15720
2009-06-23,10.088857650756836,10.329068210025047,9.80497221715924,9.848646258459684,27450
2009-06-24,10.088857650756836,10.35090606370421,9.870484112138849,9.914158986468234,20020
2009-06-25,10.241719245910645,10.569279552286947,9.826809191289087,10.176206518212235,20716
2009-06-26,10.15436840057373,10.394578932752108,10.045181643578314,10.307230026973082,24834
2009-06-29,10.263555526733398,10.460092029605802,10.088856875862861,10.307230397708253,21120
2009-06-30,10.110694885253906,10.438255200108973,9.957833238382417,10.263556532125396,21384
2009-07-01,10.416417121887207,10.634790642962288,10.110693859170542,10.416417121887207,14616
2009-07-02,10.525605201721191,10.765815771800616,10.132532981123509,10.765815771800616,12514
2009-07-03,10.591115951538086,10.83132649557791,10.11069403042955,10.263555664377114,16382
2009-07-06,10.329066276550293,11.137048384798279,10.219879527679721,10.416416008858263,42342
2009-07-07,10.263555526733398,10.831326350319866,9.826808483042615,10.48192904857879,21000
2009-07-08,9.957833290100098,10.32906848213637,9.346387532467453,10.241719564205399,35146
2009-07-09,9.804972648620605,10.481930314913868,9.215363901800904,10.132532970961664,40570
2009-07-10,9.957833290100098,10.372743357616336,9.673947849023758,9.804972475463659,22268
2009-07-13,9.411898612976074,10.045182169945035,9.259037811595675,10.045182169945035,12386
2009-07-14,9.979669570922852,10.263554967240767,9.542922551040267,9.542922551040267,19128
2009-07-15,9.979669570922852,10.263554967240767,9.717621192387535,10.24171794945817,19386
2009-07-16,9.914159774780273,10.460093664734496,9.826810019175996,10.219882253337234,12784
2009-07-17,10.023344993591309,10.176205792577049,9.892320380566403,10.067019031570732,17750
2009-07-20,10.088857650756836,10.394580105004655,9.848646258459684,9.848646258459684,18584
2009-07-21,10.1762056350708,10.219880505403108,9.91415807913469,10.110693746086772,9858
